id_registro,fondo_id,originador,tipo_activo_subyacente,fecha_constitucion_fondo,monto_total_emitido_usd,codigo_valor,serie,monto_tramo_usd,saldo_vigente_usd,tasa_cupon_pct,plazo_meses,periodicidad_pago,clasificadora,clasificacion_riesgo,fecha_pago,monto_interes_usd,monto_capital_usd,estado_pago,dias_mora
PAG-0021,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-12-22,5952.44,76036.24,Pagado,0
PAG-0022,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-01-21,,,Pendiente,0
PAG-0023,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-02-20,6747.7,92385.96,Pagado con retraso,10
PAG-0024,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-03-21,6100.07,114290.74,Pagado con retraso,2
PAG-0025,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-04-20,6113.55,91589.15,Pagado con retraso,10
PAG-0026,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-05-20,6537.5,87522.76,Pagado,0
PAG-0027,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-06-19,6845.32,76359.17,Pagado,0
PAG-0028,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-07-19,,,Pendiente,0
PAG-0029,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-08-18,6653.73,81706.2,Pagado,0
PAG-0030,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-09-17,6969.55,70910.32,Pagado con retraso,8
PAG-0031,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-10-17,6466.94,79670.83,Pagado,0
PAG-0032,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-11-16,6667.36,91440.37,Pagado,0
PAG-0033,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2020-12-16,6133.13,88961.7,Pagado,0
PAG-0034,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-01-15,6606.11,86958.27,Pagado,0
PAG-0035,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-02-14,6196.48,122496.74,Pagado,0
PAG-0036,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-03-16,6206.78,91755.81,Pagado,0
PAG-0037,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-04-15,6051.64,106905.21,Pagado,0
PAG-0038,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-05-15,6707.07,119905.92,Pagado,0
PAG-0039,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-06-14,6001.75,107885.97,Pagado,0
PAG-0040,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-07-14,6510.96,109109.26,Pagado,0
PAG-0041,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-08-13,7011.06,113210.06,Pagado,0
PAG-0042,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-09-12,6218.39,83178.39,Pagado con retraso,3
PAG-0043,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2021-10-12,6107.64,121231.93,Pagado,0
PAG-0044,FT-002,Caja de Crédito de San Vicente,Flujos de remesas,2021-10-01,16261670.92,VTRTFT002A,A,16560455.04,10630971.91,8.36,120,Anual,Zumma Ratings,N-2,2022-11-30,,,Pendiente,0
PAG-0045,FT-002,Caja de Crédito de San Vicente,Flujos de remesas,2021-10-01,16261670.92,VTRTFT002A,A,16560455.04,10630971.91,8.36,120,Anual,Zumma Ratings,N-2,2023-11-30,73927.33,471253.49,Pagado,0
PAG-0046,FT-002,Caja de Crédito de San Vicente,Flujos de remesas,2021-10-01,16261670.92,VTRTFT002A,A,16560455.04,10630971.91,8.36,120,Anual,Zumma Ratings,N-2,2024-11-29,73609.13,371370.62,Pagado,0
PAG-0047,FT-002,Caja de Crédito de San Vicente,Flujos de remesas,2021-10-01,16261670.92,VTRTFT002A,A,16560455.04,10630971.91,8.36,120,Anual,Zumma Ratings,N-2,2025-11-29,67417.21,487046.12,Pagado,0
PAG-0048,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-01-13,32574.84,690199.44,Pagado,0
PAG-0049,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-02-12,31395.58,537353.29,Pagado,0
PAG-0050,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-03-14,30987.9,647541.5,En mora,12
PAG-0051,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-04-13,30958.73,697010.21,Pagado,0
PAG-0052,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-05-13,31328.08,855326.07,Pagado,0
PAG-0053,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-06-12,33103.6,644686.96,Pagado,0
PAG-0054,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-07-12,30167.68,764144.58,Pagado,0
PAG-0055,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-08-11,33419.45,557444.22,Pagado con retraso,11
PAG-0056,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-09-10,28834.57,804568.49,Pagado,0
PAG-0057,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-10-10,28606.81,546801.44,Pagado,0
PAG-0058,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-11-09,30300.33,775233.45,Pagado,0
PAG-0059,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2017-12-09,28959.74,825057.14,Pagado con retraso,8
PAG-0060,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-01-08,27978.62,616535.43,Pagado,0
PAG-0061,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-02-07,32385.91,773462.52,Pagado con retraso,4
PAG-0062,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-03-09,30145.09,753546.54,Pagado,0
PAG-0063,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-04-08,33103.03,877756.65,Pagado,0
PAG-0064,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-05-08,28558.51,649204.41,Pagado con retraso,10
PAG-0065,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-06-07,33181.26,707129.3,Pagado,0
PAG-0066,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-07-07,29404.19,690992.55,Pagado,0
PAG-0067,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-08-06,30848.0,706515.18,Pagado,0
PAG-0068,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-09-05,32986.81,837201.27,Pagado,0
PAG-0069,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-10-05,27701.27,614554.1,Pagado,0
PAG-0070,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-11-04,32809.88,772288.25,Pagado,0
PAG-0071,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2018-12-04,32223.79,875462.45,Pagado,0
PAG-0072,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2019-01-03,32213.68,590892.26,Pagado,0
PAG-0073,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2019-02-02,30249.69,636233.68,En mora,32
PAG-0074,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2019-03-04,31428.26,730279.74,Pagado,0
PAG-0075,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2019-04-03,29672.71,660520.0,Pagado,0
PAG-0076,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2019-05-03,32792.85,658976.68,Pagado,0
PAG-0077,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003A,A,22017699.52,6000644.0,6.12,84,Mensual,Zumma Ratings,N-1,2019-06-02,29307.04,929966.07,Pagado con retraso,9
PAG-0078,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2017-12-14,142016.63,1478850.96,Pagado,0
PAG-0079,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2018-12-14,,,Pendiente,0
PAG-0080,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2019-12-14,,,Pendiente,0
PAG-0081,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2020-12-13,155329.56,1438947.8,Pagado,0
PAG-0082,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2021-12-13,160358.78,1962597.58,Pagado,0
PAG-0083,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2022-12-13,142483.52,1689820.5,Pagado,0
PAG-0084,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2023-12-13,149884.32,2413248.68,Pagado,0
PAG-0085,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2024-12-12,141771.6,2117621.05,Pagado con retraso,12
PAG-0086,FT-003,Grupo Roble,Cuentas por cobrar comerciales,2016-10-15,46252019.93,VTRTFT003B,B,25536857.42,23745110.37,7.91,36,Anual,"MOODY'S, S.A. DE C.V.",AA+.sv,2025-12-12,145825.73,2024293.73,Pagado,0
PAG-0087,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2024-07-19,,,Pendiente,0
PAG-0088,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2024-08-18,57440.98,448884.34,Pagado con retraso,8
PAG-0089,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2024-09-17,62896.34,509846.4,Pagado con retraso,7
PAG-0090,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2024-10-17,61762.57,750479.13,Pagado,0
PAG-0091,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2024-11-16,,,Pendiente,0
PAG-0092,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2024-12-16,,,Pendiente,0
PAG-0093,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-01-15,55296.83,683978.95,Pagado,0
PAG-0094,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-02-14,62914.81,585308.53,Pagado con retraso,5
PAG-0095,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-03-16,60504.42,700572.57,Pagado,0
PAG-0096,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-04-15,59739.03,710285.05,Pagado,0
PAG-0097,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-05-15,57706.03,524031.07,Pagado con retraso,7
PAG-0098,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-06-14,57370.32,520303.83,Pagado,0
PAG-0099,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-07-14,60173.85,607701.48,Pagado,0
PAG-0100,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-08-13,61077.42,423080.06,Pagado con retraso,12
PAG-0101,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-09-12,62673.79,541086.63,En mora,55
PAG-0102,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-10-12,61600.76,750679.6,Pagado,0
PAG-0103,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-11-11,52527.18,583404.63,Pagado,0
PAG-0104,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2025-12-11,62167.51,713406.56,Pagado,0
PAG-0105,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2026-01-10,58187.77,567547.42,Pagado con retraso,7
PAG-0106,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2026-02-09,62181.78,746882.89,Pagado,0
PAG-0107,FT-004,Viva Outdoor,Cuentas por cobrar comerciales,2024-04-20,34466315.98,VTRTFT004A,A,12817282.17,9994932.73,6.95,60,Mensual,Zumma Ratings,AA-.sv,2026-03-11,61146.67,500464.57,Pagado,0
